Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,111392.17,Yes,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,93792.56,No,Decline
AI Researcher,Technology,Large,Singapore,Medium,High,UX/UI Design,107170.26,Yes,Growth
Sales Manager,Retail,Small,Berlin,Low,High,Project Management,93027.95,No,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,87752.92,Yes,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,102825.01,No,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Sales,102065.72,Yes,Growth
Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,86607.32,Yes,Decline
AI Researcher,Retail,Large,London,High,Low,JavaScript,75015.86,No,Stable
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,96834.58,Yes,Decline
Marketing Specialist,Finance,Small,London,High,High,Python,91566.97,Yes,Growth
AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,78902.57,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Medium,Python,73151.99,Yes,Growth
HR Manager,Retail,Small,Paris,Low,High,Cybersecurity,98209.52,Yes,Decline
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,101001.90,Yes,Growth
Sales Manager,Telecommunications,Small,Dubai,High,Low,UX/UI Design,82799.36,No,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,78401.26,No,Decline
AI Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,73394.90,No,Stable
Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,97645.10,Yes,Stable
Software Engineer,Entertainment,Small,Dubai,Low,Low,UX/UI Design,73920.46,Yes,Growth
